            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460020.916666667, A.D. 2023-Mar-17 10:00:00.0000, -1.498505976544696E+08,  9.712247187074890E+06,  3.258352055232460E+04, -2.452282194071476E+00, -2.985907822264754E+01,  1.733222065773532E-03,  5.008965590899408E+02,  1.501650106533156E+08,  5.159474904298091E-01,
2460021.916666667, A.D. 2023-Mar-18 10:00:00.0000, -1.500400853999400E+08,  7.130964492543701E+06,  3.272081351156859E+04, -1.933856043200272E+00, -2.989126612949895E+01,  1.444197439830930E-03,  5.010447937135779E+02,  1.502094502754965E+08,  5.126336297777137E-01,
2460022.916666667, A.D. 2023-Mar-19 10:00:00.0000, -1.501847456897234E+08,  4.547310362564463E+06,  3.283326365086646E+04, -1.414658190924118E+00, -2.991394274519222E+01,  1.161648946307992E-03,  5.011919795851412E+02,  1.502535754897153E+08,  5.086876415623670E-01,
2460023.916666667, A.D. 2023-Mar-20 10:00:00.0000, -1.502845253422398E+08,  1.962113612580070E+06,  3.292233406725596E+04, -8.950108373746569E-01, -2.992695400859955E+01,  9.063739098245094E-04,  5.013379525124285E+02,  1.502973370723882E+08,  5.042419669160442E-01,
2460024.916666667, A.D. 2023-Mar-21 10:00:00.0000, -1.503394012536713E+08, -6.237862987176513E+05,  3.299121061582924E+04, -3.752839294946555E-01, -2.993021140083345E+01,  6.969560283280885E-04,  5.014825922370826E+02,  1.503406989709667E+08,  4.994658170229640E-01,
2460025.916666667, A.D. 2023-Mar-22 10:00:00.0000, -1.503493832977055E+08, -3.209545711628388E+06,  3.304448851101077E+04,  1.441347796431384E-01, -2.992370740138954E+01,  5.470513037000302E-04,  5.016258297995747E+02,  1.503836405119042E+08,  4.945414897453512E-01,
2460026.916666667, A.D. 2023-Mar-23 10:00:00.0000, -1.503145143876774E+08, -5.794323808037952E+06,  3.308766675482411E+04,  6.628735848051334E-01, -2.990751346441353E+01,  4.637862371659196E-04,  5.017676474207345E+02,  1.504261563651394E+08,  4.896376629638989E-01,
2460027.916666667, A.D. 2023-Mar-24 10:00:00.0000, -1.502348678551424E+08, -8.377288748351519E+06,  3.312657158890320E+04,  1.180603420232559E+00, -2.988176201245541E+01,  4.477328773102585E-04,  5.019080713654644E+02,  1.504682544046920E+08,  4.848887559731869E-01,
2460028.916666667, A.D. 2023-Mar-25 10:00:00.0000, -1.501105431181441E+08, -1.095762184433145E+07,  3.316683883175114E+04,  1.697050304119137E+00, -2.984662063562605E+01,  4.942008768740180E-04,  5.020471604662695E+02,  1.505099522681034E+08,  4.803858795235179E-01,
2460029.916666667, A.D. 2023-Mar-26 10:00:00.0000, -1.499416609000317E+08, -1.353451951463383E+07,  3.321353930243757E+04,  2.211993872843631E+00, -2.980226794000574E+01,  5.951247136977145E-04,  5.021849937317128E+02,  1.505512736415448E+08,  4.761790441997414E-01,
