            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458194.916666667, A.D. 2018-Mar-17 10:00:00.0000, -1.042640644226444E+08, -4.089043226294191E+08, -7.447508990708742E+07,  1.719723479374235E+01, -6.123693831649693E+00,  7.828922055857264E-01,  1.429353399119310E+03,  4.285093688726329E+08,  1.523059615039615E+00,
2458195.916666667, A.D. 2018-Mar-18 10:00:00.0000, -1.027775751182121E+08, -4.094308472384912E+08, -7.440698239590943E+07,  1.721220168499046E+01, -6.064372250807812E+00,  7.936672456391218E-01,  1.429793021011109E+03,  4.286411642001659E+08,  1.527754184403602E+00,
2458196.916666667, A.D. 2018-Mar-19 10:00:00.0000, -1.012898025629848E+08, -4.099522455512311E+08, -7.433794478050837E+07,  1.722693970463505E+01, -6.005029727942512E+00,  8.044223736614164E-01,  1.430233992443144E+03,  4.287733641096835E+08,  1.532424933847975E+00,
2458197.916666667, A.D. 2018-Mar-20 10:00:00.0000, -9.980076652326687E+07, -4.104685158005196E+08, -7.426797878704381E+07,  1.724144904333489E+01, -5.945667241093540E+00,  8.151574564701636E-01,  1.430676306546317E+03,  4.289059665418818E+08,  1.537071834250563E+00,
2458198.916666667, A.D. 2018-Mar-21 10:00:00.0000, -9.831048674868481E+07, -4.109796563036187E+08, -7.419708615314257E+07,  1.725572989648688E+01, -5.886285765490190E+00,  8.258723618019532E-01,  1.431119956443232E+03,  4.290389694349695E+08,  1.541694857158475E+00,
2458199.916666667, A.D. 2018-Mar-22 10:00:00.0000, -9.681898297177920E+07, -4.114856654619279E+08, -7.412526862781933E+07,  1.726978246419540E+01, -5.826886273527580E+00,  8.365669583127926E-01,  1.431564935248392E+03,  4.291723707247260E+08,  1.546293974785635E+00,
2458200.916666667, A.D. 2018-Mar-23 10:00:00.0000, -9.532627490759942E+07, -4.119865417607385E+08, -7.405252797139722E+07,  1.728360695123988E+01, -5.767469734742465E+00,  8.472411155786350E-01,  1.432011236068383E+03,  4.293061683445587E+08,  1.550869160009863E+00,
2458201.916666667, A.D. 2018-Mar-24 10:00:00.0000, -9.383238225330117E+07, -4.124822837689854E+08, -7.397886595542818E+07,  1.729720356704192E+01, -5.708037115789874E+00,  8.578947040958367E-01,  1.432458852002074E+03,  4.294403602255599E+08,  1.555420386370483E+00,
2458202.916666667, A.D. 2018-Mar-25 10:00:00.0000, -9.233732468774666E+07, -4.129728901389970E+08, -7.390428436261350E+07,  1.731057252563347E+01, -5.648589380420375E+00,  8.685275952814342E-01,  1.432907776140801E+03,  4.295749442965645E+08,  1.559947628065949E+00,
2458203.916666667, A.D. 2018-Mar-26 10:00:00.0000, -9.084112187110771E+07, -4.134583596062437E+08, -7.382878498672423E+07,  1.732371404562580E+01, -5.589127489458202E+00,  8.791396614732214E-01,  1.433358001568560E+03,  4.297099184842064E+08,  1.564450859951788E+00,
2458204.916666667, A.D. 2018-Mar-27 10:00:00.0000, -8.934379344447151E+07, -4.139386909890840E+08, -7.375236963252178E+07,  1.733662835017832E+01, -5.529652400779161E+00,  8.897307759298370E-01,  1.433809521362194E+03,  4.298452807129757E+08,  1.568930057538039E+00,
2458205.916666667, A.D. 2018-Mar-28 10:00:00.0000, -8.784535902944885E+07, -4.144138831885083E+08, -7.367504011567804E+07,  1.734931566696589E+01, -5.470165069288442E+00,  9.003008128309469E-01,  1.434262328591582E+03,  4.299810289052740E+08,  1.573385196986543E+00,
2458206.916666667, A.D. 2018-Mar-29 10:00:00.0000, -8.634583822778562E+07, -4.148839351878820E+08, -7.359679826269615E+07,  1.736177622814465E+01, -5.410666446898639E+00,  9.108496472775143E-01,  1.434716416319826E+03,  4.301171609814721E+08,  1.577816255108345E+00,
2458207.916666667, A.D. 2018-Mar-30 10:00:00.0000, -8.484525062097698E+07, -4.153488460526857E+08, -7.351764591083059E+07,  1.737401027032005E+01, -5.351157482509099E+00,  9.213771552917260E-01,  1.435171777603441E+03,  4.302536748599647E+08,  1.582223209361587E+00,
2458208.916666667, A.D. 2018-Mar-31 10:00:00.0000, -8.334361576988415E+07, -4.158086149302539E+08, -7.343758490800789E+07,  1.738601803452102E+01, -5.291639121986639E+00,  9.318832138162008E-01,  1.435628405492533E+03,  4.303905684572271E+08,  1.586606037849322E+00,
2458209.916666667, A.D. 2018-Apr-01 10:00:00.0000, -8.184095321435384E+07, -4.162632410495123E+08, -7.335661711274680E+07,  1.739779976615633E+01, -5.232112308141527E+00,  9.423677007151894E-01,  1.436086293030995E+03,  4.305278396878703E+08,  1.590964719315582E+00,
2458210.916666667, A.D. 2018-Apr-02 10:00:00.0000, -8.033728247284113E+07, -4.167127237207124E+08, -7.327474439407906E+07,  1.740935571499147E+01, -5.172577980710463E+00,  9.528304947732904E-01,  1.436545433256684E+03,  4.306654864646962E+08,  1.595299233144194E+00,
2458211.916666667, A.D. 2018-Apr-03 10:00:00.0000, -7.883262304203440E+07, -4.171570623351660E+08, -7.319196863146919E+07,  1.742068613511205E+01, -5.113037076335336E+00,  9.632714756957053E-01,  1.437005819201608E+03,  4.308035066987536E+08,  1.599609559355604E+00,
2458212.916666667, A.D. 2018-Apr-04 10:00:00.0000, -7.732699439648364E+07, -4.175962563649759E+08, -7.310829171473595E+07,  1.743179128489200E+01, -5.053490528543904E+00,  9.736905241078677E-01,  1.437467443892107E+03,  4.309418982993918E+08,  1.603895678604301E+00,
2458213.916666667, A.D. 2018-Apr-05 10:00:00.0000, -7.582041598823118E+07, -4.180303053627663E+08, -7.302371554397207E+07,  1.744267142696105E+01, -4.993939267730548E+00,  9.840875215551120E-01,  1.437930300349038E+03,  4.310806591743162E+08,  1.608157572176184E+00,
2458214.916666667, A.D. 2018-Apr-06 10:00:00.0000, -7.431290724644551E+07, -4.184592089614123E+08, -7.293824202946496E+07,  1.745332682817197E+01, -4.934384221137374E+00,  9.944623505022826E-01,  1.438394381587955E+03,  4.312197872296429E+08,  1.612395221985897E+00,
2458215.916666667, A.D. 2018-Apr-07 10:00:00.0000, -7.280448757705773E+07, -4.188829668737648E+08, -7.285187309161747E+07,  1.746375775956789E+01, -4.874826312835653E+00,  1.004814894333303E+00,  1.438859680619290E+03,  4.313592803699517E+08,  1.616608610574192E+00,
2458216.916666667, A.D. 2018-Apr-08 10:00:00.0000, -7.129517636240102E+07, -4.193015788923776E+08, -7.276461066086847E+07,  1.747396449634963E+01, -4.815266463707503E+00,  1.015145037350677E+00,  1.439326190448532E+03,  4.314991364983416E+08,  1.620797721105158E+00,
2458217.916666667, A.D. 2018-Apr-09 10:00:00.0000, -6.978499296085276E+07, -4.197150448892298E+08, -7.267645667761320E+07,  1.748394731784289E+01, -4.755705591427924E+00,  1.025452664774952E+00,  1.439793904076410E+03,  4.316393535164830E+08,  1.624962537363502E+00,
2458218.916666667, A.D. 2018-Apr-10 10:00:00.0000, -6.827395670647953E+07, -4.201233648154488E+08, -7.258741309212452E+07,  1.749370650746548E+01, -4.696144610447112E+00,  1.035737662744132E+00,  1.440262814499066E+03,  4.317799293246731E+08,  1.629103043751745E+00,
2458219.916666667, A.D. 2018-Apr-11 10:00:00.0000, -6.676208690868511E+07, -4.205265387010304E+08, -7.249748186447307E+07,  1.750324235269432E+01, -4.636584431973264E+00,  1.045999918313040E+00,  1.440732914708238E+03,  4.319208618218871E+08,  1.633219225287622E+00,
2458220.916666667, A.D. 2018-Apr-12 10:00:00.0000, -6.524940285186104E+07, -4.209245666545581E+08, -7.240666496444851E+07,  1.751255514503283E+01, -4.577025963955331E+00,  1.056239319452618E+00,  1.441204197691433E+03,  4.320621489058325E+08,  1.637311067601013E+00,
2458221.916666667, A.D. 2018-Apr-13 10:00:00.0000, -6.373592379504018E+07, -4.213174488629208E+08, -7.231496437148020E+07,  1.752164517997796E+01, -4.517470111066399E+00,  1.066455755049201E+00,  1.441676656432104E+03,  4.322037884730021E+08,  1.641378556931260E+00,
2458222.916666667, A.D. 2018-Apr-14 10:00:00.0000, -6.222166897155316E+07, -4.217051855910290E+08, -7.222238207455823E+07,  1.753051275698717E+01, -4.457917774687228E+00,  1.076649114903738E+00,  1.442150283909828E+03,  4.323457784187250E+08,  1.645421680124253E+00,
2458223.916666667, A.D. 2018-Apr-15 10:00:00.0000, -6.070665758868760E+07, -4.220877771815299E+08, -7.212892007215449E+07,  1.753915817944560E+01, -4.398369852890303E+00,  1.086819289730941E+00,  1.442625073100474E+03,  4.324881166372207E+08,  1.649440424629727E+00,
2458224.916666667, A.D. 2018-Apr-16 10:00:00.0000, -5.919090882735007E+07, -4.224652240545204E+08, -7.203458037214354E+07,  1.754758175463317E+01, -4.338827240423740E+00,  1.096966171158433E+00,  1.443101016976385E+03,  4.326308010216501E+08,  1.653434778498067E+00,
2458225.916666667, A.D. 2018-Apr-17 10:00:00.0000, -5.767444184173118E+07, -4.228375267072595E+08, -7.193936499172401E+07,  1.755578379369166E+01, -4.279290828695820E+00,  1.107089651725810E+00,  1.443578108506543E+03,  4.327738294641672E+08,  1.657404730377416E+00,
2458226.916666667, A.D. 2018-Apr-18 10:00:00.0000, -5.615727575897317E+07, -4.232046857138795E+08, -7.184327595733961E+07,  1.756376461159164E+01, -4.219761505759961E+00,  1.117189624883672E+00,  1.444056340656748E+03,  4.329171998559717E+08,  1.661350269510919E+00,
2458227.916666667, A.D. 2018-Apr-19 10:00:00.0000, -5.463942967884064E+07, -4.235667017250943E+08, -7.174631530460078E+07,  1.757152452709962E+01, -4.160240156299627E+00,  1.127265984992619E+00,  1.444535706389780E+03,  4.330609100873584E+08,  1.665271385733553E+00,
2458228.916666667, A.D. 2018-Apr-20 10:00:00.0000, -5.312092267339398E+07, -4.239235754679089E+08, -7.164848507820585E+07,  1.757906386274513E+01, -4.100727661613794E+00,  1.137318627322172E+00,  1.445016198665579E+03,  4.332049580477703E+08,  1.669168069469194E+00,
