            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2420498.500000000, A.D. 1915-Jan-01 00:00:00.0000, -3.701581158292652E+01,  2.489450400168957E+01, -4.257814369952810E+00,  2.03996896E-04,  1.60774455E-04,  1.87142491E-05,
2420863.500000000, A.D. 1916-Jan-01 00:00:00.0000, -3.753768678968708E+01,  2.414245753636961E+01, -4.164532391355024E+00,  1.99431597E-04,  1.62002307E-04,  1.89896902E-05,
2421229.500000000, A.D. 1917-Jan-01 00:00:00.0000, -3.804592945534931E+01,  2.337748145255046E+01, -4.069126429739010E+00,  1.94854415E-04,  1.63109380E-04,  1.92488301E-05,
2421594.500000000, A.D. 1918-Jan-01 00:00:00.0000, -3.853720390038478E+01,  2.260333009259825E+01, -3.972166650545773E+00,  1.90294051E-04,  1.64090418E-04,  1.94902291E-05,
2421959.500000000, A.D. 1919-Jan-01 00:00:00.0000, -3.901201298525361E+01,  2.181783647477688E+01, -3.873453294854104E+00,  1.85741619E-04,  1.64949534E-04,  1.97146199E-05,
2422324.500000000, A.D. 1920-Jan-01 00:00:00.0000, -3.946938915217993E+01,  2.102139263543469E+01, -3.773048389120207E+00,  1.81200678E-04,  1.65687766E-04,  1.99220270E-05,
2422690.500000000, A.D. 1921-Jan-01 00:00:00.0000, -3.990970441219135E+01,  2.021250699476112E+01, -3.670731426381269E+00,  1.76662337E-04,  1.66307808E-04,  2.01129970E-05,
2423055.500000000, A.D. 1922-Jan-01 00:00:00.0000, -4.033005668608389E+01,  1.939653531763322E+01, -3.567116594829726E+00,  1.72154814E-04,  1.66807562E-04,  2.02865579E-05,
2423420.500000000, A.D. 1923-Jan-01 00:00:00.0000, -4.073144882520064E+01,  1.857228125586735E+01, -3.461976911552153E+00,  1.67669032E-04,  1.67190294E-04,  2.04433477E-05,
2423785.500000000, A.D. 1924-Jan-01 00:00:00.0000, -4.111394011804710E+01,  1.774067918632700E+01, -3.355356911418882E+00,  1.63208269E-04,  1.67457520E-04,  2.05834780E-05,
2424151.500000000, A.D. 1925-Jan-01 00:00:00.0000, -4.147881142931880E+01,  1.690024316645568E+01, -3.246996825934392E+00,  1.58763632E-04,  1.67611120E-04,  2.07073935E-05,
2424516.500000000, A.D. 1926-Jan-01 00:00:00.0000, -4.182456181358294E+01,  1.605613619778310E+01, -3.137523329577135E+00,  1.54362546E-04,  1.67651964E-04,  2.08145631E-05,
2424881.500000000, A.D. 1927-Jan-01 00:00:00.0000, -4.215279343868007E+01,  1.520627894750053E+01, -3.026673332209416E+00,  1.49995873E-04,  1.67582423E-04,  2.09055104E-05,
2425246.500000000, A.D. 1928-Jan-01 00:00:00.0000, -4.246394111644858E+01,  1.435049626623628E+01, -2.914480043067873E+00,  1.45666567E-04,  1.67404389E-04,  2.09804148E-05,
2425612.500000000, A.D. 1929-Jan-01 00:00:00.0000, -4.275880440246542E+01,  1.348597287650708E+01, -2.800673394694744E+00,  1.41365802E-04,  1.67118916E-04,  2.10396120E-05,
2425977.500000000, A.D. 1930-Jan-01 00:00:00.0000, -4.303530745291680E+01,  1.261704975633774E+01, -2.685929042968219E+00,  1.37119865E-04,  1.66729636E-04,  2.10829898E-05,
2426342.500000000, A.D. 1931-Jan-01 00:00:00.0000, -4.329346509922472E+01,  1.174137846625865E+01, -2.570001629762193E+00,  1.32919645E-04,  1.66238054E-04,  2.11109557E-05,
2426707.500000000, A.D. 1932-Jan-01 00:00:00.0000, -4.353243552586603E+01,  1.085938440856605E+01, -2.452958228364362E+00,  1.28767744E-04,  1.65646382E-04,  2.11237470E-05,
2427073.500000000, A.D. 1933-Jan-01 00:00:00.0000, -4.375215954208966E+01,  9.969412542279583E+00, -2.334537327974262E+00,  1.24655504E-04,  1.64954876E-04,  2.11215872E-05,
2427438.500000000, A.D. 1934-Jan-01 00:00:00.0000, -4.395106251361646E+01,  9.077268253173758E+00, -2.215445953748997E+00,  1.20607802E-04,  1.64169664E-04,  2.11047524E-05,
2427803.500000000, A.D. 1935-Jan-01 00:00:00.0000, -4.412970588109529E+01,  8.181495794145285E+00, -2.095415073429394E+00,  1.16615627E-04,  1.63291403E-04,  2.10735335E-05,
2428168.500000000, A.D. 1936-Jan-01 00:00:00.0000, -4.428827537416436E+01,  7.283019142848932E+00, -1.974492447070004E+00,  1.12681179E-04,  1.62322571E-04,  2.10282188E-05,
